keyword,frequency
China,50
trade,47
US,47
Chinese,43
Trump,27
war,23
China’s,19
tariffs,16
U.S.,16
American,14
Beijing,13
economic,11
deal,10
President,10
political,10
"China,",9
administration,9
Pence,8
China.,8
United,8
Soviet,8
America,8
2018,7
(link,7
economy,7
Canada,7
Beijing’s,7
global,7
Russia,7
America’s,7
Global,7
Times,7
willing,6
stock,6
foreign,6
This,6
countries,6
Mike,6
cent,6
But,6
Russian,6
enemy,6
cosmopolitan,6
And,5
goods,5
state,5
common,5
wrote,5
"US,",5
As,5
pressure,5
Trade,5
domestic,5
talks,5
Zhong,5
Pompeo,5
Donald,5
conflict,5
midterm,5
Union,5
efforts,5
world,5
REIHAN,5
SALAM,5
conservatives,5
Putin,5
nationalist,5
speech,5
people,4
public,4
"year,",4
“The,4
Chinese),4
That,4
point,4
central,4
"tariffs,",4
“I,4
It,4
A,4
NAFTA,4
difficult,4
"trade,",4
Mexico,4
agreement,4
wants,4
demands,4
Minister,4
US.,4
know,4
free,4
line,4
advantage,4
Secretary,4
State,4
Foreign,4
Wang,4
tariff,4
change,4
technology,4
contain,4
market,4
country,4
business,4
Trump’s,4
European,4
talking,4
strategy,4
summit,4
"""We",4
Japan,4
early,4
relationship,4
States,4
question,4
president,4
rising,4
threat,4
democracies,4
commitment,4
What,3
"9,",3
increasing,3
national,3
state-run,3
doesn’t,3
people.,3
requirement,3
war.,3
markets,3
officials,3
asked,3
year.,3
worried,3
While,3
It’s,3
Chinese).,3
oil,3
nuts,3
based,3
He,3
"war,",3
up.,3
manufacturing,3
imports.,3
"Mexico,",3
Americans,3
so-called,3
stance,3
tensions,3
"Monday,",3
exchange,3
told,3
Washington,3
intellectual,3
rights,3
25,3
transfer,3
"time,",3
accusations,3
attempting,3
elections.,3
warned,3
anytime,3
South,3
Union.,3
finance,3
chiefs,3
week.,3
If,3
"Beijing,",3
chief,3
campaign,3
potential,3
pain,3
elections,3
party-state,3
seeking,3
influence,3
outcome,3
democratic,3
world’s,3
orienting,3
Huntington,3
grand,3
creedal,3
identity,3
freedom,3
defines,3
cold,3
serves,3
act,3
power,3
open,3
Western,3
liberals,3
Cold,3
took,3
editorial,3
Hudson,3
messed,2
think,2
By,2
win,2
support,2
sides,2
goods.,2
"imports,",2
worth,2
strongest,2
spirit,2
run,2
opinion,2
deeply,2
comment,2
acknowledge,2
added,2
growth.,2
worrying,2
come.,2
yuan,2
On,2
Monday,2
fell,2
(paywall),2
tumble,2
bank,2
trying,2
boost,2
haven’t,2
“This,2
"Weibo,",2
working,2
firm,2
Beijing.,2
When,2
work,2
markets.,2
help,2
life,2
hard,2
prices,2
suddenly,2
expensive,2
ran,2
cost,2
"war,”",2
feel,2
imports,2
August.,2
environment,2
good.,2
there’s,2
real,2
won’t,2
can’t,2
businesses,2
hit,2
firms,2
50,2
response,2
"fact,",2
Agreement,2
argument,2
elements,2
key,2
growth,2
terms,2
wars,2
build,2
At,2
"September,",2
‘non-market-oriented,2
knows,2
building,2
anti-China,2
"Japan,",2
highly,2
suggest,2
major,2
current,2
policies,2
"said,",2
keeps,2
down.,2
history,2
nation,2
rise,2
break,2
resolve,2
month,2
strong,2
Companies,2
consumers,2
testy,2
hurt,2
de-escalate,2
punitive,2
property,2
role,2
state-owned,2
enterprises.,2
imposed,2
US$50,2
10,2
set,2
threatened,2
Yi,2
technologies,2
reiterated,2
said.,2
progress,2
opening,2
relations,2
interfere,2
undermine,2
playbook,2
"Bali,",2
—,2
soon.,2
"week,",2
hold,2
"Korea,",2
impose,2
"China,""",2
senior,2
fellow,2
Trump's,2
damage,2
protracted,2
"""The",2
stakes,2
International,2
deals,2
reach,2
"again,",2
coalition,2
Europe,2
Paris,2
climate,2
reference,2
States.,2
approach,2
allies,2
address,2
economies,2
weakened,2
exports,2
mean,2
tariffs.,2
looms,2
government,2
concerns,2
relies,2
How,2
For,2
"part,",2
Robert,2
"place,",2
Xi,2
Jinping,2
leaders,2
appear,2
consequences,2
Vice,2
wide-ranging,2
hostility,2
regimes,2
world.,2
Yet,2
“China,2
shift,2
administration’s,2
"Pence,",2
politics,2
criticism,2
desperate,2
Against,2
All,2
upcoming,2
election,2
challenge,2
observers,2
Russia’s,2
"observed,",2
numbers,2
powers,2
shape.,2
collapse,2
defined,2
days,2
British,2
years,2
cohesion,2
divided,2
supposed,2
understand,2
liberal,2
"Europe,",2
2016,2
forces,2
gay,2
=,2
liberalism,2
defender,2
natural,2
ally,2
defend,2
invites,2
warier,2
populist,2
"party-state,",2
exactly,2
elite,2
integration,2
One,2
industrial,2
strategic,2
imagine,2
ordinary,2
stands,2
welcome,2
sacrifice,2
Which,2
Pence’s,2
Institute,2
compared,2
Churchill’s,2
authoritarian,2
calm,2
unique,2
delivered,2
Thucydides,2
reason,2
distract,2
Russiagate,2
–,2
respect,2
﻿“Utterly,1
life”:,1
Guardian,1
Echo,1
HuangOctober,1
ardent,1
determination,1
like.,1
Since,1
entered,1
earnest,1
tit-for-tat,1
$250,1
$110,1
running,1
retaliation,1
"going,",1
weapon,1
“war,1
fate”,1
"people,",1
media.,1
heroism,1
‘being,1
concern,1
enjoy,1
oneself’,1
"blood,",1
‘sacrificing,1
one’s,1
"public,'”",1
piece,1
posted,1
People’s,1
Daily,1
July,1
10.,1
“Facing,1
‘war,1
"fate,’",1
aware,1
‘there’s,1
home,1
"country,’",1
bear,1
temporary,1
losses.”,1
painful,1
Economists,1
estimate,1
latest,1
25%,1
shave,1
percentage,1
"Online,",1
sharing,1
they’re,1
experiencing,1
impacts,1
"far,",1
what’s,1
Stocks,1
"tumble,",1
devalues,1
"(Oct.7),",1
Golden,1
Week,1
"holiday,",1
stocks,1
sharply.,1
benchmark,1
Shanghai,1
Composite,1
Index,1
3.7%—its,1
biggest,1
single-day,1
loss,1
months.,1
announced,1
cut,1
reserve,1
ratio,1
commercial,1
banks,1
fourth,1
year—a,1
liquidity,1
amid,1
"general,",1
stride.,1
tough,1
me.,1
received,1
payments,1
projects,1
"bursts,”",1
social,1
media,1
platform,1
identified,1
securities,1
market’s,1
killed,1
projects.,1
returned,1
"home,",1
village,1
how’s,1
My,1
"answer,",1
"sadly,",1
"this—deleveraging,",1
bad,1
"performance,",1
utterly,1
life.”,1
REUTERS/MARIANA,1
BAZO,1
Looking,1
devalued,1
many.,1
exporters,1
"competitive,",1
tougher,1
"currency,",1
example,1
families,1
studying,1
abroad.,1
“We,1
kneeling,1
RMB,1
[renminbi],1
stable,1
term.,1
Looks,1
Great,1
Depression,1
"arrive,”",1
Weibo,1
"Snacks,",1
Treats,1
daily,1
necessities.,1
yesterday,1
wanted,1
"stock,”",1
female,1
northern,1
Hebei,1
"province,",1
she’s,1
eating,1
"day,",1
"pecans,",1
commonly,1
sourced,1
more.,1
shop,1
"owner,",1
‘Why,1
time?’,1
owner,1
it’s,1
"continued,",1
“And,1
"him,",1
‘What’s,1
relationship?’,1
imported,1
lots,1
overseas.,1
impact,1
war.”,1
Maine,1
"lobster,",1
forget,1
it.,1
drivers,1
feeling,1
"pinch,",1
putting,1
“I’ve,1
felt,1
peer-to-peer,1
lending,1
illegal,1
money-raising,1
"crackdown,",1
bled,1
bunch,1
Now,1
drop,1
estate,1
market….,1
afford,1
"car,”",1
Small,1
harder,1
ones.,1
Caixin,1
Purchasing,1
Managers,1
"Index,",1
gauge,1
sentiment,1
"smaller,",1
private,1
official,1
"PMI,",1
declined,1
50.6,1
August,1
"month,",1
level,1
number,1
indicates,1
contraction.,1
REUTERS,1
soybean,1
Pessimism,1
People,1
aren’t,1
optimistic,1
ease,1
North,1
Free,1
renegotiated,1
Canada—now,1
brand-new,1
acronym—shows,1
formation,1
online,1
commenters,1
noted.,1
“Why,1
months?”,1
male,1
micro-blogging,1
site,1
southwestern,1
Sichuan,1
province.,1
His,1
driving,1
years—including,1
"infrastructure,",1
demands—have,1
signs.,1
“In,1
"worrying,”",1
wrote.,1
launching,1
worldwide,1
bypass,1
WTO,1
[World,1
Organization],1
new.,1
signed,1
cooperation,1
agreement.,1
economy‘,1
enter,1
"market,",1
approval,1
countries…,1
Everyone,1
economy’,1
is.”,1
(The,1
asks,1
notify,1
“non-market”,1
"economy,",1
deal.),1
“Americans,1
circle.,1
"round,",1
"in,",1
Canada.,1
afraid,1
"Europe,”",1
adjustments,1
listening,1
opinions,1
elites.”,1
﻿China,1
US:,1
commerce,1
minister,1
SCMP,1
Amanda,1
Lee,1
cave,1
faces,1
"exports,",1
Commerce,1
Shan,1
signalling,1
uncompromising,1
dealing,1
“There,1
view,1
They,1
don’t,1
culture,1
"China,”",1
statement,1
published,1
Bloomberg,1
News.,1
unyielding,1
suffered,1
bullying,1
"history,",1
succumbed,1
conditions.,1
out.,1
underestimate,1
will.”,1
release,1
white,1
paper,1
detailing,1
blamed,1
creating,1
painted,1
promoter,1
trade.,1
comments,1
"Zhong,",1
ministry,1
coincide,1
rapid,1
deterioration,1
ties,1
Washington.,1
ofCHINA’S,1
COMMERCE,1
MINISTER,1
ZHONG,1
SHAN,1
"Pompeo,",1
brief,1
visit,1
Yi.,1
“mutual,1
trust”,1
“misguided,1
actions”,1
“fundamental,1
disagreements”,1
powers.,1
Prospects,1
bright.,1
locked,1
horns,1
levying,1
gaping,1
differences,1
issues,1
initially,1
September,1
additional,1
US$200,1
"products,",1
rate,1
January,1
1,1
concessions.,1
pump,1
US$110,1
intensifies,1
extend,1
retaliated,1
variable,1
5,1
US$60,1
(left),1
Photo:,1
AP,1
demanding,1
practices,1
forcing,1
subsidising,1
steal,1
firms.,1
emphasise,1
laws,1
regulations,1
companies’,1
purchases,1
patents,1
pure,1
"behaviour,”",1
“China’s,1
"development,",1
science,1
technological,1
owed,1
reform,1
endeavours,1
people.”,1
turns,1
heat,1
moves,1
battlefronts,1
argued,1
“took,1
US”,1
record,1
surplus,1
US$31.05,1
“If,1
continued?,1
"of,”",1
congressional,1
Vice-President,1
stepped,1
attack,1
condemning,1
“every,1
tool,1
disposal”,1
system.,1
"companies,",1
tech,1
giant,1
"Alphabet,",1
owns,1
"Google,",1
disengage,1
﻿Trump,1
rips,1
Donna,1
"Borak,",1
CNN,1
Updated,1
1037,1
GMT,1
(1837,1
HKT),1
October,1
Indonesia,1
(CNN)President,1
After,1
announcing,1
revamped,1
reeled,1
list,1
deal:,1
scoffed,1
"""babies",1
"there""",1
effects,1
suggesting,1
"""we",1
wouldn't,1
"deal""",1
confrontational,1
approach.,1
IMF,1
warns,1
"""That's",1
embolden,1
threaten,1
hopes,1
Edward,1
"Alden,",1
Council,1
Relations.,1
no-holds-barred,1
center,1
stage,1
bankers,1
Indonesia.,1
it'll,1
Treasury,1
Steven,1
"Mnuchin,",1
president's,1
"envoy,",1
argue,1
case,1
warnings,1
intensify,1
"high,""",1
Christine,1
"Lagarde,",1
managing,1
director,1
Monetary,1
"Fund,",1
"disputes.""",1
'Coalition,1
willing',1
that's,1
strengthen,1
negotiating,1
position,1
argue.,1
01:58,1
moving,1
characterized,1
confront,1
Larry,1
"Kudlow,",1
"adviser,",1
stages.,1
French,1
Emmanuel,1
Macron,1
shouldn't,1
sign,1
doesn't,1
comply,1
"change,",1
administration's,1
collaboratively,1
mutual,1
concerns.,1
Other,1
big,1
