Title,Score,Directors,Actors,url
父母爱情,9.3,孔笙,郭涛 / 梅婷 / 王菁华 / 郭广平 / 张延,https://movie.douban.com/subject/19965220/
毛骗 第二季,9.3,李洪绸 / 邢冬冬,杨羽 / 安宁 / 邢冬冬 / 黎伟 / 邵庄,https://movie.douban.com/subject/6894818/
琅琊榜,9.2,孔笙 / 李雪,胡歌 / 刘涛 / 王凯 / 陈龙 / 黄维德,https://movie.douban.com/subject/25754848/
战长沙,9.2,孔笙 / 张开宙,霍建华 / 杨紫 / 左小青 / 任程伟 / 牛骏峰,https://movie.douban.com/subject/20258941/
红色,9.2,杨磊,陶虹 / 张鲁一 / 周一围 / 李天柱 / 谢园,https://movie.douban.com/subject/25966028/
黎明之前,9.2,刘江,吴秀波 / 林永健 / 陆剑民 / 田小洁 / 张晞临,https://movie.douban.com/subject/4894070/
茶馆,9.2,何群,陈宝国 / 梁天 / 谢钢 / 周里京 / 石小满,https://movie.douban.com/subject/3271273/
禽兽超人,9.2,於水,於水 / 耿琪,https://movie.douban.com/subject/26807624/
小戏骨：红楼梦之刘姥姥进大观园,9.1,潘礼平 / 刘玉洁,释小松 / 周漾玥 / 钟熠璠 / 郭飞歌 / 杨纳娜,https://movie.douban.com/subject/26951951/
我们的法兰西岁月,9.1,康洪雷,朱亚文 / 钟秋 / 李艺科 / 马晓灿 / 缪俊杰,https://movie.douban.com/subject/6018955/
白夜追凶,9.0,王伟,潘粤明 / 王泷正 / 梁缘 / 吕晓霖 / 尹姝贻,https://movie.douban.com/subject/26883064/
后宫·甄嬛传,9.0,郑晓龙,孙俪 / 陈建斌 / 蔡少芬 / 李东学 / 蒋欣,https://movie.douban.com/subject/4922787/
大秦帝国之纵横,9.0,丁黑,宁静 / 富大龙 / 傅淼 / 喻恩泰 / 杨新鸣,https://movie.douban.com/subject/4858790/
岁月,8.9,刘江,胡军 / 梅婷 / 于和伟 / 王早来 / 施京明,https://movie.douban.com/subject/2389241/
最好的我们,8.8,刘畅,刘昊然 / 谭松韵 / 王栎鑫 / 董晴 / 李砚,https://movie.douban.com/subject/26602244/
白鹿原,8.8,刘进,张嘉译 / 秦海璐 / 何冰 / 刘佩琦 / 李洪涛,https://movie.douban.com/subject/26322644/
风筝,8.8,柳云龙,柳云龙 / 罗海琼 / 李小冉 / 齐欢 / 孙斌,https://movie.douban.com/subject/25752323/
一起同过窗 第二季,8.8,毕鑫业,武雨泽 / 徐晓璐 / 庞瀚辰 / 李若嘉 / 于翔,https://movie.douban.com/subject/26979979/
北平无战事,8.8,孔笙 / 李雪,刘烨 / 陈宝国 / 焦晃 / 倪大红 / 王庆祥,https://movie.douban.com/subject/24695611/
舞乐传奇,8.8,于荣光,秋瓷炫 / 林更新 / 高一玮 / 胡海锋 / 苏倩薇,https://movie.douban.com/subject/21759697/
十月围城,8.8,鞠觉亮,钟汉良 / 张晓龙 / 刘筱筱 / 吴刚 / 吴孟达,https://movie.douban.com/subject/21351469/
一触即发,8.8,甘露,钟汉良 / 李立群 / 杨蕊 / 徐梵溪 / 李玥,https://movie.douban.com/subject/6534101/
那年那兔哪些事儿 番外篇,8.8,二树,兔子 / 鹰酱 / 棒子,https://movie.douban.com/subject/26877495/
命运,8.8,李舒,李雪健 / 高明 / 赵丽娟,https://movie.douban.com/subject/3543951/
你好，旧时光,8.7,沙漠,李兰迪 / 张新成 / 周澄奥 / 李牵 / 许梦圆,https://movie.douban.com/subject/26581830/
苍穹之昴,8.7,汪俊,田中裕子 / 殷桃 / 周一围 / 余少群 / 小泽征悦,https://movie.douban.com/subject/4226460/
腾空的日子,8.7,毕鑫业,李佳航,https://movie.douban.com/subject/25889645/
请你原谅我,8.7,刘惠宁,吴秀波 / 海清 / 董洁 / 吴越 / 张嘉译,https://movie.douban.com/subject/5377114/
我叫MT第五季,8.7,周彬,葛张君 / 朴珊 / 陈博 / 夏一可 / 安妮,https://movie.douban.com/subject/25766797/
铁血征途,8.7,花箐,林江国 / 王韦智 / 高姝瑶 / 吴其江 / 衣珊,https://movie.douban.com/subject/20395155/
永不回头,8.7,张辉,李保田 / 姜武 / 闫妮 / 林继东 / 马书良,https://movie.douban.com/subject/4047001/
飞碟说 第一季,8.7,汤怀,房栋 / 李锴 / 胡明明 / 李国平 / 魏轩,https://movie.douban.com/subject/25977135/
橙子故事,8.7,郭键,曹旭鹏 / 简爱 / 孟晨,https://movie.douban.com/subject/25865600/
永不磨灭的番号,8.6,徐纪周,黄海波 / 王雷 / 白雨 / 李健 / 姚芊羽,https://movie.douban.com/subject/6013870/
楚留香新传,8.6,张敏,张智尧 / 樊少皇 / 金巧巧 / 刘德凯 / 傅艺伟,https://movie.douban.com/subject/5392061/
生活有点甜,8.6,杨亚洲 / 杨博,冯巩 / 姜宏波 / 巩汉林 / 徐岑子 / 贾玲,https://movie.douban.com/subject/26796680/
原乡,8.6,张国立,陈宝国 / 张国立 / 奚美娟 / 冯恩鹤 / 马少骅,https://movie.douban.com/subject/11500327/
一千零一夜 第一季,8.6,席然,翟鹏 / 邵琪 / 王宜谦 / 吴玮蓉 / 陆凯,https://movie.douban.com/subject/26855711/
琅琊榜之风起长林,8.5,孔笙 / 李雪,黄晓明 / 刘昊然 / 佟丽娅 / 张慧雯 / 梅婷,https://movie.douban.com/subject/26665065/
遇见王沥川,8.5,陈铭章,高以翔 / 焦俊艳 / 连凯 / 林佑威 / 吴辰君,https://movie.douban.com/subject/20444535/
大秦帝国之崛起,8.5,丁黑,宁静 / 张博 / 邢佳栋 / 杨志刚 / 沈佳妮,https://movie.douban.com/subject/5923466/
大清盐商,8.5,韩晓军,张嘉译 / 张志坚 / 俞飞鸿 / 倪大红 / 莫小棋,https://movie.douban.com/subject/10527210/
老农民,8.5,张新建,陈宝国 / 冯远征 / 牛莉 / 蒋欣 / 梁林琳,https://movie.douban.com/subject/25868187/
男人不醉,8.5,叶长青 / 尤明宇,纪亚文 / 杨羽 / 徐唯,https://movie.douban.com/subject/26296022/
推拿,8.5,康洪雷,濮存昕 / 张国强 / 李菁菁 / 高亚麟 / 刘威葳,https://movie.douban.com/subject/10540065/
医者仁心,8.5,傅东育,谢君豪 / 尤勇 / 陈瑾 / 潘虹 / 谢钢,https://movie.douban.com/subject/5392035/
伪装者,8.4,李雪,胡歌 / 靳东 / 刘敏涛 / 王凯 / 宋轶,https://movie.douban.com/subject/25994712/
平凡的世界,8.4,毛卫宁,佟丽娅 / 袁弘 / 王雷 / 李小萌 / 刘威,https://movie.douban.com/subject/25851665/
虎啸龙吟,8.4,张永新,吴秀波 / 刘涛 / 李晨 / 张钧甯 / 唐艺昕,https://movie.douban.com/subject/27087788/
来不及说我爱你,8.4,曾丽珍,钟汉良 / 李小冉 / 谭凯 / 齐芳 / 孙玮,https://movie.douban.com/subject/4135704/
最美的青春,8.4,巨兴茂,刘智扬 / 何雨虹 / 赵恒煊 / 贾宏伟 / 张子文,https://movie.douban.com/subject/27126973/
手机,8.4,沈严 / 王雷,王志文 / 陈道明 / 梅婷 / 刘蓓 / 范明,https://movie.douban.com/subject/4111333/
少林问道,8.4,傅东育,周一围 / 郭京飞 / 郭晓婷 / 是安 / 何赛飞,https://movie.douban.com/subject/26297251/
海棠依旧,8.4,陈力,孙维民 / 唐国强 / 黄薇 / 卢奇 / 王伍福,https://movie.douban.com/subject/25835485/
风车,8.4,孔笙 / 张永新,李晨 / 杨立新 / 霍思燕 / 宋佳 / 韩童生,https://movie.douban.com/subject/4934994/
活着再见,8.4,姜凯阳,张陆 / 骆达华 / 赵达 / 曲高位 / 赵龙豪,https://movie.douban.com/subject/26607296/
女生日记之做决定事务所,8.4,陈宇 / 林菁菁,陆妍淇 / 高瀚宇 / 张倩铭 / 王晓莎莎,https://movie.douban.com/subject/26437176/
叶落长安,8.4,姚晓峰,陈小艺 / 倪大红 / 刘涛 / 毛晓彤 / 赵峥,https://movie.douban.com/subject/6829658/
