排名,电视剧名称,年份,评分,评价人数,导演,编剧,主演,类型,集数,单集片长,豆瓣网址
1,父母爱情,2014,9.3,37181,孔笙, 刘静,郭涛 / 梅婷 / 王菁华 / 郭广平 / 张延, 爱情 / 家庭,44,45,https://movie.douban.com/subject/19965220/
2,毛骗 第二季,2011,9.3,14595,李洪绸 / 邢冬冬, 李洪绸,杨羽 / 安宁 / 邢冬冬 / 黎伟 / 邵庄, 悬疑 / 犯罪,14,72,https://movie.douban.com/subject/6894818/
3,战长沙,2014,9.2,89214,孔笙 / 张开宙, 吴桐 / 曾璐,霍建华 / 杨紫 / 左小青 / 任程伟 / 牛骏峰, 剧情 / 历史,32,45,https://movie.douban.com/subject/20258941/
4,琅琊榜,2015,9.2,255060,孔笙 / 李雪, 海宴,胡歌 / 刘涛 / 王凯 / 陈龙 / 黄维德, 剧情 / 古装,54,45,https://movie.douban.com/subject/25754848/
5,红色,2014,9.2,62941,杨磊, 徐兵,陶虹 / 张鲁一 / 周一围 / 李天柱 / 谢园, 剧情 / 战争,48,40,https://movie.douban.com/subject/25966028/
6,黎明之前,2010,9.2,30226,刘江, 黄珂,吴秀波 / 林永健 / 陆剑民 / 田小洁 / 张_临, 剧情 / 悬疑 / 历史,30,45,https://movie.douban.com/subject/4894070/
7,茶馆,2010,9.2,7647,何群, 叶广芩 / 杨国强,陈宝国 / 梁天 / 谢钢 / 周里京 / 石小满, 剧情,39,42,https://movie.douban.com/subject/3271273/
8,禽兽超人,2015,9.2,463,於水, 於水,於水 / 耿琪, 剧情,12,3,https://movie.douban.com/subject/26807624/
9,小戏骨：红楼梦之刘姥姥进大观园,2017,9.1,26264,潘礼平 / 刘玉洁, 刘玉洁 / 罗妤佳,释小松 / 周漾_ / 钟熠_ / 郭飞歌 / 杨纳娜, 剧情 / 儿童 / 古装,9,25,https://movie.douban.com/subject/26951951/
10,我们的法兰西岁月,2012,9.1,2939,康洪雷, 李克威,朱亚文 / 钟秋 / 李艺科 / 马晓灿 / 缪俊杰, 剧情 / 历史,31,40,https://movie.douban.com/subject/6018955/
11,白夜追凶,2017,9,244112,王伟, 指纹 / 顾小白,潘粤明 / 王泷正 / 梁缘 / 吕晓霖 / 尹姝贻, 剧情 / 悬疑 / 犯罪,32,45,https://movie.douban.com/subject/26883064/
12,后宫·甄_传,2011,9,169845,郑晓龙, 流潋紫 / 王小平,孙俪 / 陈建斌 / 蔡少芬 / 李东学 / 蒋欣, 剧情 / 古装,76,45,https://movie.douban.com/subject/4922787/
13,大秦帝国之纵横,2013,9,18490,丁黑, 张建伟,宁静 / 富大龙 / 傅淼 / 喻恩泰 / 杨新鸣, 剧情 / 历史 / 古装,43,45,https://movie.douban.com/subject/4858790/
14,一起同过窗 第一季,2016,8.9,34793,毕鑫业, 毕鑫业 / 梅琼宇,李若嘉 / 应岱臻 / 庞瀚辰 / 桑砚 / 于翔, 剧情,34,45,https://movie.douban.com/subject/26391976/
15,岁月,2010,8.9,3140,刘江, 全勇先,胡军 / 梅婷 / 于和伟 / 王早来 / 施京明, 剧情,23,47,https://movie.douban.com/subject/2389241/
16,最好的我们,2016,8.8,94213,刘畅, 八月长安 / 李嘉 / 殷姝双双 / 陈潇骁 / 吴桐 / 陆洋 / 赵_ / 倪守国,刘昊然 / 谭松韵 / 王栎鑫 / 董晴 / 李砚, 剧情 / 爱情,24,45,https://movie.douban.com/subject/26602244/
17,白鹿原,2017,8.8,60427,刘进, 申捷 / 陈忠实,张嘉译 / 秦海璐 / 何冰 / 刘佩琦 / 李洪涛, 剧情 / 历史,77,45,https://movie.douban.com/subject/26322644/
18,风筝,2017,8.8,41178,柳云龙, 杨健 / 秦丽,柳云龙 / 罗海琼 / 李小冉 / 齐欢 / 孙斌, 剧情 / 悬疑,46,45,https://movie.douban.com/subject/25752323/
19,一起同过窗 第二季,2017,8.8,29769,毕鑫业, 毕鑫业 / 梅琼宇,武雨泽 / 徐晓璐 / 庞瀚辰 / 李若嘉 / 于翔, 剧情 / 爱情,52,35,https://movie.douban.com/subject/26979979/
20,北平无战事,2014,8.8,43440,孔笙 / 李雪, 刘和平,刘烨 / 陈宝国 / 焦晃 / 倪大红 / 王庆祥, 剧情 / 战争,53,45,https://movie.douban.com/subject/24695611/
21,舞乐传奇,2013,8.8,21939,于荣光, 王倦,秋瓷炫 / 林更新 / 高一玮 / 胡海锋 / 苏倩薇, 剧情 / 历史,42,40,https://movie.douban.com/subject/21759697/
22,十月围城,2014,8.8,8205,鞠觉亮, 卞智弘 / 吴楠 / 周鹤洋,钟汉良 / 张晓龙 / 刘筱筱 / 吴刚 / 吴孟达, 剧情 / 历史 / 战争,60,45,https://movie.douban.com/subject/21351469/
23,一触即发,2012,8.8,8301,甘露, 张勇,钟汉良 / 李立群 / 杨蕊 / 徐梵溪 / 李_, 剧情,32,45,https://movie.douban.com/subject/6534101/
24,那年那兔哪些事儿 番外篇,2016,8.8,1655,二树, 逆光飞行,兔子 / 鹰酱 / 棒子,,5,10,https://movie.douban.com/subject/26877495/
25,命运,2010,8.8,198,李舒, 陆天明,李雪健 / 高明 / 赵丽娟, 剧情 / 历史,30,,https://movie.douban.com/subject/3543951/
26,你好，旧时光,2017,8.7,80043,沙漠, 八月长安 / 卓越泡沫 / 赵_ / 陈潇骁 / 陆洋 / 邓珂 / 潘可唯 / 张紫微 / 李海蒂,李兰迪 / 张新成 / 周澄奥 / 李牵 / 许梦圆, 剧情 / 爱情,30,45,https://movie.douban.com/subject/26581830/
27,苍穹之昴,2010,8.7,7914,汪俊, 杨海薇 / 黄珂,田中裕子 / 殷桃 / 周一围 / 余少群 / 小泽征悦, 剧情 / 古装,28,40,https://movie.douban.com/subject/4226460/
28,腾空的日子,2014,8.7,6507,毕鑫业, 毕鑫业,李佳航, 喜剧,3,23,https://movie.douban.com/subject/25889645/
29,请你原谅我,2011,8.7,10568,刘惠宁, 徐兵,吴秀波 / 海清 / 董洁 / 吴越 / 张嘉译, 剧情 / 爱情 / 家庭,30,45,https://movie.douban.com/subject/5377114/
30,铁血征途,2013,8.7,562,花箐, 陈庄 / 冉光泽 / 陈秋平,林江国 / 王韦智 / 高姝瑶 / 吴其江 / 衣珊, 剧情 / 战争,35,,https://movie.douban.com/subject/20395155/
31,永不回头,2010,8.7,1311,张辉, 饶晖,李保田 / 姜武 / 闫妮 / 林继东 / 马书良, 剧情 / 家庭,30,,https://movie.douban.com/subject/4047001/
32,我叫MT第五季,2012,8.7,528,周彬, 周彬,葛张君 / 朴珊 / 陈博 / 夏一可 / 安妮,,10,30,https://movie.douban.com/subject/25766797/
33,飞碟说 第一季,2012,8.7,599,汤怀, 李国斌 / 魏轩 / 周琴,房栋 / 李锴 / 胡明明 / 李国平 / 魏轩, 短片,159,5,https://movie.douban.com/subject/25977135/
34,橙子故事,2013,8.7,71,郭键, 潘威 / 王丹,曹旭鹏 / 简爱 / 孟晨,,13,5,https://movie.douban.com/subject/25865600/
35,永不磨灭的番号,2011,8.6,9177,徐纪周, 徐纪周 / 冯骥,黄海波 / 王雷 / 白雨 / 李健 / 姚芊羽, 剧情 / 战争,34,40,https://movie.douban.com/subject/6013870/
36,楚留香新传,2012,8.6,5437,张敏, 古龙,张智尧 / 樊少皇 / 金巧巧 / 刘德凯 / 傅艺伟, 剧情 / 武侠 / 古装,38,43,https://movie.douban.com/subject/5392061/
37,生活有点甜,2016,8.6,1172,杨亚洲 / 杨博, 齐铁民,冯巩 / 姜宏波 / 巩汉林 / 徐岑子 / 贾玲, 剧情 / 喜剧 / 家庭,38,45,https://movie.douban.com/subject/26796680/
